token	bytes
A	1
a	1
aa	2
aal	3
aalii	5
aam	3
Aani	4
aardvark	8
aardwolf	8
Aaron	5
Aaronic	7
Aaronical	9
Aaronite	8
Aaronitic	9
Aaru	4
Ab	2
aba	3
Ababdeh	7
Ababua	6
abac	4
abaca	5
abacate	7
abacay	6
abacinate	9
abacination	11
abaciscus	9
abacist	7
aback	5
abactinal	9
abactinally	11
abaction	8
abactor	7
abaculus	8
abacus	6
Abadite	7
abaff	5
abaft	5
abaisance	9
abaiser	7
abaissed	8
abalienate	10
abalienation	12
abalone	7
Abama	5
abampere	8
abandon	7
abandonable	11
abandoned	9
abandonedly	11
abandonee	9
abandoner	9
abandonment	11
Abanic	6
Abantes	7
abaptiston	10
Abarambo	8
Abaris	6
abarthrosis	11
abarticular	11
abarticulation	14
abas	4
abase	5
abased	6
abasedly	8
abasedness	10
abasement	9
abaser	6
Abasgi	6
abash	5
abashed	7
abashedly	9
abashedness	11
abashless	9
abashlessly	11
abashment	9
abasia	6
abasic	6
abask	5
Abassin	7
abastardize	11
abatable	8
abate	5
abatement	9
abater	6
abatis	6
abatised	8
abaton	6
abator	6
abattoir	8
Abatua	6
abature	7
abave	5
abaxial	7
abaxile	7
abaze	5
abb	3
Abba	4
abbacomes	9
abbacy	6
Abbadide	8
abbas	5
abbasi	6
abbassi	7
Abbasside	9
abbatial	8
abbatical	9
abbess	6
abbey	5
abbeystede	10
Abbie	5
abbot	5
abbotcy	7
abbotnullius	12
abbotship	9
abbreviate	10
abbreviately	12
abbreviation	12
abbreviator	11
abbreviatory	12
abbreviature	12
Abby	4
abcoulomb	9
abdal	5
abdat	5
Abderian	8
Abderite	8
abdest	6
abdicable	9
abdicant	8
abdicate	8
abdication	10
abdicative	10
abdicator	9
Abdiel	6
abditive	8
abditory	8
abdomen	7
abdominal	9
Abdominales	11
abdominalian	12
abdominally	11
abdominoanterior	16
abdominocardiac	15
abdominocentesis	16
abdominocystic	14
abdominogenital	15
abdominohysterectomy	20
abdominohysterotomy	19
abdominoposterior	17
abdominoscope	13
abdominoscopy	13
abdominothoracic	16
abdominous	10
abdominovaginal	15
abdominovesical	15
abduce	6
abducens	8
abducent	8
abduct	6
abduction	9
abductor	8
Abe	3
abeam	5
abear	5
abearance	9
abecedarian	11
abecedarium	11
abecedary	9
abed	4
abeigh	6
Abel	4
abele	5
Abelia	6
Abelian	7
Abelicea	8
Abelite	7
abelite	7
Abelmoschus	11
abelmosk	8
Abelonian	9
abeltree	8
Abencerrages	12
abenteric	9
abepithymia	11
Aberdeen	8
aberdevine	10
Aberdonian	10
Aberia	6
aberrance	9
aberrancy	9
aberrant	8
aberrate	8
aberration	10
aberrational	12
aberrator	9
aberrometer	11
aberroscope	11
aberuncator	11
abet	4
abetment	8
abettal	7
abettor	7
abevacuation	12
abey	4
abeyance	8
abeyancy	8
abeyant	7
abfarad	7
abhenry	7
abhiseka	8
abhominable	11
abhor	5
abhorrence	10
abhorrency	10
abhorrent	9
abhorrently	11
abhorrer	8
abhorrible	10
abhorring	9
Abhorson	8
abidal	6
abidance	8
